allocated CHIP memory @0x79d38, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79e38, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x79f38, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a038, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a138, size 256 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21fca8, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x7a238, size 256 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eaee0, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eaef8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7a338, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a378, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a3b8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a3f8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a438, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eaf80, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eafa8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7a478, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a4b8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a4f8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a538, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a578, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eb030, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eb058, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7a5b8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a5f8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a638, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a678, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a6b8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eb0e0, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eb108, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7a6f8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a738, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a778, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a7b8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7a7f8, size 64 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eb1c0, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x7a838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7c838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x7e838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x80838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x82838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21fe08, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x84838, size 8192 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eb278, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x86838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x88838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x8a838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x8c838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x8e838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x21feb8, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x90838, size 8192 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eb320, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x92838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x94838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x96838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x98838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x9a838, size 8192 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x220228, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0x9c838, size 8192 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eb3c8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0xabbe8, size 1024 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xabfe8, size 1024 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xac3e8, size 1024 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xac7e8, size 1024 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xacbe8, size 1024 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2275a8, size 8 (D:\prg\_git\ace\ace\utils\bitmapmask.c:12)
allocated CHIP memory @0xacfe8, size 1024 (D:\prg\_git\ace\ace\utils\bitmapmask.c:30)
allocated FAST memory @0x2eb440, size 560 (D:\prg\_git\openfire\src\gamestates\game\projectile.c:29)
allocated FAST memory @0x2eb670, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eb698, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0xad3e8, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad3f8, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad408, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad418, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad428, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eb720, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eb748, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0xad438, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad448, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad458, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad468, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad478, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x2eb7d0, size 20 (D:\prg\_git\openfire\src\gamestates\game\bob.c:12)
allocated FAST memory @0x2eb7f8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0xad488, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad498, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad4a8, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad4b8, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0xad4c8, size 16 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
